stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1005O00218C0,,Academia Brasileira de Letras,,-22.91051,-43.172587,,,0,,,,
1005O00212C0,,ACADEPOL - Academia de Polícia,,-22.9106,-43.19392,,,0,,,,
1005O00259C0,,Catedral Metropolitana,,-22.909364,-43.180294,,,0,,,,
1005O00248C0,,Senado,,-22.91073,-43.188238,,,0,,,,
1005O00364C0,,Ponto Regulador: Castelo :: Linha 265,,-22.908115,-43.170819,,,0,,,,
1005O00367C2,,Ponto Final: Candelária :: Linhas para Zona Norte,,-22.902005,-43.180841,,,0,,,,
1005O00158S0,2EZV,"BRS 4,5: Tomé de Sousa",,-22.903662,-43.187524,,,0,,,,
1005O00159S0,2FFC,"BRS 1,2,3: Tomé de Sousa",,-22.90382,-43.18806,,,0,,,,
1005O00246S0,2GLS,"BRS 1,2,3: Central",,-22.905862,-43.192264,,,0,,,,
1005O00359S0,2H5W,"BRS 5,I: Praça da República",,-22.905052,-43.189782,,,0,,,,
1005O00199C0,,Parada São Bento,,-22.89915,-43.17999,,,0,,,,
1005O00192C0,,Presidente Vargas,,-22.90054,-43.17948,,,0,,,,
1005O00250C0,,Visconde de Inhaúma,,-22.89948,-43.17708,,,0,,,,
1005O00242P0,,Terminal Churchill :: Plataforma Sul,,-22.908986,-43.170703,,,0,1005O00268T0,,,Sul
1005O00263P0,,Terminal Procópio Ferreira :: Plat. Sul,,-22.904988,-43.192317,,,0,1005O00377T9,,,Sul
1005O00228C0,,Terminal Jamil Amiden :: Linhas 217 e 249,,-22.90881,-43.17938,,,0,,,,
1005O00236C0,,Terminal Jamil Amiden :: Ônibus Executivos,,-22.90917,-43.18048,,,0,,,,
1005O00255C0,,Ponto Final: Passeio :: Linha 247,,-22.91239,-43.17652,,,0,,,,
1005O00172C0,,Ponto Final: Praça Tiradentes,,-22.90731,-43.183,,,0,,,,
1005O00227C0,,Terminal Jamil Amiden :: Linha 229,,-22.90837,-43.17813,,,0,,,,
1005O00361C0,,Ponto Final: Castelo :: Linha 361,,-22.90526,-43.17648,,,0,,,,
1005O00369C2,,Ponto Final: Candelária :: Linha 328,,-22.902674,-43.18239,,,0,,,,
1005O00372C1,,Ponto Final: Candelária :: Linha 369,,-22.901438,-43.18065,,,0,,,,
1005O00377T9,,Terminal Procópio Ferreira,,-22.904806,-43.192141,,,1,,,,
1005O00260C0,,Franklin Roosevelt :: Pista Esquerda,,-22.90957,-43.17046,,,0,,,,
1005O00208C0,,Franklin Roosevelt :: Pista Direita,,-22.90952,-43.17067,,,0,,,,
1005O00370C1,,Ponto Final: Candelária :: Linhas 388 e SR388,,-22.901944,-43.182203,,,0,,,,
1006O00013S9,2BF2,"BRS 1,2,3,4,I: Marquês de Sapucaí",,-22.91423,-43.19633,,,0,,,,
1007O00025C0,,Professor Quintino do Vale,,-22.91786,-43.20922,,,0,,,,
1007O00009C0,,Barão de Sertório,,-22.92059,-43.21275,,,0,,,,
1007O00063C0,,Conselheiro Barros,,-22.92268,-43.21401,,,0,,,,
1007O00020C0,,Itapiru,,-22.92555,-43.20513,,,0,,,,
1007O00064C0,,Casa de Portugal,,-22.9248,-43.21172,,,0,,,,
1007O00014C0,,Hospital Alemão do Amparo,,-22.92616,-43.2049,,,0,,,,
1006O00010C0,,Coroa,,-22.92227,-43.19726,,,0,,,,
1007O00077C0,,Helênico Atlético Clube,,-22.925151,-43.203004,,,0,,,,
1007O00040C0,,Galvão,,-22.92513,-43.19961,,,0,,,,
1007O00074C0,,Vila Anchieta,,-22.928348,-43.203432,,,0,,,,
1006O00008C0,,Fallet,,-22.92414,-43.19849,,,0,,,,
1006O00018C0,,Coroa,,-22.922234,-43.197393,,,0,,,,
1006O00007C0,,Doutor Agra,,-22.92023,-43.19661,,,0,,,,
1006O00011C0,,Itapiru,,-22.9205,-43.19591,,,0,,,,
1006O00009C0,,Fallet,,-22.92357,-43.1979,,,0,,,,
1007O00024C0,,Edifício Jardim Tijuca,,-22.91992,-43.20858,,,0,,,,
1007O00030C0,,Paula Ramos,,-22.93359,-43.20924,,,0,,,,
1007O00021C0,,Costa Ferraz,,-22.923657,-43.206368,,,0,,,,
1007O00032C0,,Caetano Martins,,-22.9239,-43.2045,,,0,,,,
1007O00076C0,,Igreja Batista Shalom,,-22.925151,-43.201223,,,0,,,,
1005O00376S2,2J8F,"BRS 1,4: Passos",,-22.903617,-43.185315,,,0,,,,
1007O00031C0,,Helênico Atlético Clube,,-22.92497,-43.20299,,,0,,,,
1006O00006C0,,Cemitério São Francisco de Paula,,-22.91907,-43.19573,,,0,,,,
1006O00004C0,,Catumbi,,-22.91707,-43.19543,,,0,,,,
1006O00015C0,,Itapiru,,-22.91618,-43.19452,,,0,,,,
1006O00016C0,,Frei Caneca,,-22.914663,-43.195969,,,0,,,,
1006O00017C0,,Itapiru,,-22.9166,-43.19521,,,0,,,,
1007O00075C0,,Torre de Furnas,,-22.927058,-43.208334,,,0,,,,
1006O00012C0,,Praça Jardineira,,-22.91975,-43.194386,,,0,,,,
1007O00015C0,,Vila Anchieta,,-22.928232,-43.203643,,,0,,,,
1007O00039C0,,Igreja Batista Shalom,,-22.925285,-43.201492,,,0,,,,
1007O00057C0,,Hospital Central do Corpo de Bombeiros,,-22.931356,-43.208737,,,0,,,,
1005O00375S2,2JHG,"BRS 2,3,5,I: Passos",,-22.903332,-43.184461,,,0,,,,
1005O00374C2,,Comando Aéreo Leste,,-22.908598,-43.168241,,,0,,,,
1007O00022C0,,Aristides Lobo,,-22.92342,-43.20786,,,0,,,,
1007O00019C0,,Flor de Maio,,-22.929946,-43.201885,,,0,,,,
