route_id,trip_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id
O0309AAN0A,700fcd70-47fc-4ee9-a627-457d53ffa890,U_REG,Terminal Gentileza,SN309,0,kdut
O0309AAP0A,824ff119-ee4d-4d91-88e2-0900d7583daa,U_REG,Central,SP309,0,u2cv
O0311AAA0A,51b394c2-1896-45ab-89f2-a1896b48263d,U_REG,Candelária,311,0,vjqf
O0312AAA0A,096d8d2c-0295-42ff-956d-6eab207a242a,U_REG,Candelária,312,0,dk5r
O0312AAN0A,ebfc9493-952d-4b66-b374-3355df45cf74,U_REG,Penha,SN312,1,t10v
O0313AAA0A,37834ac5-9693-4ffe-9d70-cb8ba36f6a39,U_REG,Penha (Grotão),313,1,qtz4
O0315AAA0A,b110fdbb-9d49-4936-bb31-adb53412f8be,U_REG,Central,315,1,4rzh
O0315AAP0A,0eb553cd-2609-4669-beb2-c925627cc254,U_REG,Recreio dos Bandeirantes,SP315,0,1669
O0321AAA0A,60732bef-a02c-47d8-a353-44dac5b8ba19,U_REG,Bancários,321,1,l0et
O0323AAA0A,cf8468bd-18d5-4221-9988-d597b76abf12,U_REG,Castelo,323,0,wwp0
O0324AAA0A,7266bcf8-8e9f-46ad-8e2f-d0ec235af1a7,U_REG,Candelária,324,0,pp88
O0324AAN0A,c4d9e3e9-b2ae-4309-9e2a-0c9e9b0d858e,U_REG,Candelária,SN324,0,w5i6
O0324AAP0A,97ba2721-5a07-4323-9fa3-ad932315152c,U_REG,Terminal Fundão,SP324,0,o0gw
O0325AAA0A,242fada3-ba2c-41e7-b473-47a7d398c687,U_REG,Ribeira,325,1,oscy
O0326AAA0A,2391b8e0-0a93-4e82-a7c7-89fc01d9e50b,U_REG,Candelária,326,0,udtw
O0326AAPBA,6ffb88f4-fec6-49d5-a137-bb51192ee583,U_REG,Bancários,SPB326,1,udda
O0327AAA0A,67d7e1c4-f44b-4ad0-8a7a-cc21c5abc028,U_REG,Ribeira,327,1,bkd5
O0328AAA0A,d0739ab0-f06d-4f1f-8fdb-747c22f2fdef,U_REG,Candelária,328,0,g3mz
O0328AAN0A,ff7b5dc4-662d-4fa1-ba3e-3312df533664,U_REG,Candelária,SN328,0,dcq8
O0328AAP0A,f00c428e-9e85-4968-a162-de216f9e81e3,U_REG,Bananal,SP328,1,7kxh
O0328AAR0A,f1041748-ef0d-4466-bda8-4881bb557f44,U_REG,Candelária,SR328,0,O0328AAV0AIDU01
O0329AAA0A,76846d97-c2c1-4e8b-8518-acbc478b8ca9,U_REG,Bancários,329,1,wv6w
O0329AAP0A,006d388f-575d-4dfe-9bd0-c457554ac857,U_REG,Bancários,SP329,1,1zgs
O0335AAA0A,02e926b5-3a1a-4375-984c-43477e8deb97,U_REG,Cordovil,335,1,49n7
O0338AAA0A,1f785d80-8478-4919-af35-c980cfa530c9,U_REG,Candelária,338,0,dl64
O0341AAA0A,af84c915-99a8-4490-a371-c735513e05c2,U_REG,Taquara,341,1,7zri
O0342AAA0A,292e90ab-f768-4168-ae18-813353b318b4,U_REG,Jardim América,342,1,uk1b
O0342AAR0A,edc49da2-bb56-4854-940c-f53b87d8b247,U_REG,Jardim América,SR342,1,O0342AAR0AVDU02
O0343AAA0A,3a50b073-697e-4b6a-bb3c-dd8b4ae6e010,U_REG,Candelária,343,0,nyir
O0343AAP0A,4324834e-ec0b-404e-add0-30b9c97f7827,U_REG,Candelária,SP343,0,3jos
O0348AAA0A,727a9e16-4acf-45e0-abb4-1a12ab72cdcd,U_REG,Candelária,348,0,1v5q
O0349AAA0A,57517e98-3427-4205-908b-e440833daf7b,U_REG,Castelo,349,0,o56g
O0350AAA0A,bd60eaf6-028d-4a76-b00a-c2605b62ffb2,U_REG,Irajá,350,1,on6n
O0352AAA0A,8586b119-7f91-4e1e-a1f4-231e7d1b0604,U_REG,Riocentro,352,1,O0352AAA0AVDU02
O0353AAA0A,3a8888fd-d016-4cca-abd8-f1545a52a32f,U_REG,Gardênia Azul,353,1,c2fn
O0353AAN0A,0ee92683-5436-4ceb-acf6-fca420ac56ae,U_REG,Terminal Gentileza,SN353,0,8vtj
O0355AAA0A,fed6e8dc-750d-4d43-9f0a-22f432d929f9,U_REG,Praça Tiradentes,355,0,h1hq
O0355AAN0A,273319be-5938-4288-9087-274439e7e1c7,U_REG,Praça Tiradentes,SN355,0,g7s4
O0355AAR0A,9ce2d4b6-3a77-44df-b41f-939874bdcfab,U_REG,Madureira,SR355,1,O0355AAR0AVDU01
O0361AAA0A,e4538fb1-f241-4603-9527-15bf92421676,U_REG,Castelo,361,0,3iew
