id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,civilians_dead,civilians_wounded,agents_dead,agents_wounded,men_dead,men_wounded,women_dead,women_wounded,kids_dead,kids_wounded,teenagers_dead,teenagers_wounded,elderly_dead,elderly_wounded
34695,"Estrada de Guaxindiba, Guaxindiba, São Gonçalo - RJ, 24722-370, Brasil",Sudeste,Rio de Janeiro,São Gonçalo,GUAXINDIBA,,,-22.7842938000,-42.9750364000,"27/03/2020, 19:02:00",true,true,N�o identificado,Ação policial,,,false,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34697,"Antares, Santa Cruz, Rio de Janeiro - RJ, 23590-801, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,SANTA CRUZ,,FAVELA DE ANTARES,-22.9205568000,-43.6587637000,"27/03/2020, 19:55:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34705,"Marambaia, Itaboraí - RJ, Brasil",Sudeste,Rio de Janeiro,Itaboraí,MARAMBAIA,,,-22.7960859000,-42.9405738000,"27/03/2020, 21:41:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34703,"Morro do Cavalão - Icaraí, Niterói - RJ, 24230-007, Brasil",Sudeste,Rio de Janeiro,Niterói,ICARAI,,MORRO DO CAVALAO,-22.9106431000,-43.1005987000,"27/03/2020, 23:20:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34700,"Vila Aliança - Bangu, Rio de Janeiro - RJ, 21842-340, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,BANGU,,VILA ALIANCA,-22.8694071000,-43.4790849000,"27/03/2020, 23:30:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34704,"Buro do Boi, Parque Flora, Nova Iguaçu - RJ, 26041-375, Brasil",Sudeste,Rio de Janeiro,Nova Iguaçu,PARQUE FLORA,,BURACO DO BOI,-22.7076610000,-43.4514020000,"27/03/2020, 23:41:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34712,"Vila Operária, Duque de Caxias - RJ, 25080-000, Brasil",Sudeste,Rio de Janeiro,Duque de Caxias,PARQUE DUQUE,VILA OPERARIA,,-22.7878983000,-43.2974671000,"28/03/2020, 00:00:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34714,"Morro do São João, Engenho Novo, Rio de Janeiro - RJ, 20950-370, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,ENGENHO NOVO,,MORRO SAO JOAO,-22.9075420000,-43.2648900000,"28/03/2020, 00:30:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34702,"Morro dos Macacos - Vila Isabel, Rio de Janeiro - RJ, 20560, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,RIACHUELO,,MORRO DOS MACACOS,-22.9093698000,-43.2555465000,"28/03/2020, 00:30:00",false,false,,Disputa,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34701,"Vila Aliança - Bangu, Rio de Janeiro - RJ, 21842-340, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,BANGU,,VILA ALIANCA,-22.8694071000,-43.4790849000,"28/03/2020, 00:34:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34724,"Vila Vintém - Realengo, Rio de Janeiro - RJ, 21721-210, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,PADRE MIGUEL,,VILA VINTEM,-22.8710555000,-43.4398067000,"28/03/2020, 04:00:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34711,"Vila Kennedy, Rio de Janeiro - RJ, 21850-007, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA KENNEDY,,VILA KENNEDY,-22.8604006000,-43.4884116000,"28/03/2020, 04:50:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34710,"Saçu - Quintino Bocaiuva, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,QUINTINO BOCAIUVA,,MORRO DO SACU (COMPLEXO DO 18),-22.8960142000,-43.3213563000,"28/03/2020, 05:22:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34713,"Vila Kennedy, Rio de Janeiro - RJ, 21850-007, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA KENNEDY,,VILA KENNEDY,-22.8604006000,-43.4884116000,"28/03/2020, 06:01:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
